Maximal Calf Circumference (cm)	float	18,59.6	WTMEC2YR
Amputations Lower Left Extremity?	category	1:Yes;2:No;9:Could not obtain	WTMEC2YR
Triceps Skinfold (mm)	float	2.4,43.6	WTMEC2YR
Weight (kg)	float	3.1,193.3	WTMEC2YR
Length of a MEC exam (sec)	int	0,909	WTMEC2YR
Thigh Circumference (cm)	float	25.1,94.3	WTMEC2YR
Recumbent Length (cm)	float	44.9,110.3	WTMEC2YR
Amputations UL  Above or Below Elbow?	category	1:Above elbow;2:Below elbow	WTMEC2YR
Amputations Lower Right Extremity?	category	1:Yes;2:No;9:Could not obtain	WTMEC2YR
Amputations UR  Above or Below Elbow?	category	1:Above elbow;2:Below elbow	WTMEC2YR
Full Sample 4 Year Interview Weight	float	620.682382,100652.32964	sample weight
Full Sample 2 Year Interview Weight	float	974.66525161,236864.13597	sample weight
Full Sample 2 Year MEC Exam Weight	float	0,261361.33834	sample weight
Full Sample 4 Year MEC Exam Weight	float	0,103831.17105	sample weight
